sample_index,time_label,workday,holiday,hour,hour_bin,rush_hour,expert_id,mae_inv,mae_final,mean_abs_delta_env,route_weight_0,route_weight_1,route_weight_2,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7
0,15,1,0,15,15,0,1,13.290915489196777,9.944417953491211,12.560381,0.34028214,0.37049717,0.2892207,3.0,2.0,4.0,2.0,1.0,2.0,0.0,0.0
1,16,1,0,16,16,0,1,12.100675582885742,8.964008331298828,12.0072365,0.340614,0.37002808,0.28935793,3.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0
2,16,1,0,16,16,0,1,10.952828407287598,9.116716384887695,11.356339,0.34022626,0.37029898,0.28947473,3.0,2.0,3.0,2.0,1.0,2.0,0.0,1.0
3,17,1,0,17,17,1,1,8.562914848327637,7.203739166259766,11.277178,0.34035265,0.37022343,0.28942385,3.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0
4,17,1,0,17,17,1,1,11.150120735168457,8.906710624694824,11.778286,0.34029195,0.3704524,0.28925565,3.0,1.0,3.0,1.0,1.0,2.0,0.0,1.0
5,18,1,0,18,18,1,1,10.865981101989746,8.638519287109375,12.526397,0.34028697,0.37020123,0.28951177,3.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0
6,18,1,0,18,18,1,1,10.117300033569336,7.9939165115356445,13.056153,0.33988735,0.3703534,0.28975928,4.0,2.0,3.0,2.0,1.0,2.0,0.0,1.0
7,19,1,0,19,19,1,1,11.286705017089844,9.328165054321289,13.446646,0.3395535,0.37063983,0.28980666,4.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0
8,19,1,0,19,19,1,1,11.748751640319824,9.276969909667969,14.029769,0.339512,0.37074432,0.28974366,3.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0
9,20,1,0,20,20,0,1,12.213374137878418,8.005630493164062,14.909321,0.33950385,0.37108,0.2894161,3.0,2.0,3.0,2.0,1.0,4.0,0.0,1.0
10,20,1,0,20,20,0,1,9.767220497131348,7.383397102355957,14.321625,0.33964577,0.3707465,0.28960773,3.0,2.0,3.0,2.0,1.0,3.0,0.0,1.0
11,21,1,0,21,21,0,1,12.506600379943848,9.713642120361328,14.146099,0.3396706,0.37111664,0.2892127,3.0,3.0,3.0,2.0,1.0,4.0,0.0,0.0
12,21,1,0,21,21,0,1,13.308032035827637,9.024862289428711,14.717914,0.33955055,0.37120745,0.289242,4.0,3.0,4.0,2.0,1.0,4.0,0.0,1.0
13,22,1,0,22,22,0,1,12.51123046875,9.728621482849121,13.839672,0.33993152,0.37084866,0.28921983,3.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0
14,22,1,0,22,22,0,1,10.721956253051758,7.497076034545898,14.158765,0.33945975,0.37067592,0.28986433,4.0,3.0,3.0,3.0,2.0,4.0,0.0,1.0
15,23,1,0,23,23,0,1,12.043891906738281,9.867986679077148,13.911416,0.33947593,0.37081814,0.28970596,3.0,3.0,2.0,2.0,2.0,3.0,0.0,0.0
16,23,1,0,23,23,0,1,11.259681701660156,6.982019901275635,13.734995,0.34009054,0.3705624,0.289347,2.0,3.0,2.0,2.0,2.0,4.0,1.0,0.0
17,0,1,0,0,0,0,1,10.987427711486816,8.384032249450684,12.626269,0.3401741,0.37085637,0.28896946,2.0,2.0,2.0,2.0,1.0,3.0,0.0,0.0
18,0,1,0,0,0,0,1,7.9283013343811035,6.439824104309082,11.369338,0.3403541,0.37051937,0.2891265,2.0,2.0,2.0,2.0,0.0,2.0,0.0,1.0
19,1,1,0,1,1,0,1,6.780951976776123,5.04955530166626,10.609509,0.3405059,0.3703582,0.2891359,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0
20,1,1,0,1,1,0,1,6.245543003082275,4.788978099822998,9.948932,0.34061417,0.36994243,0.28944343,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
21,2,1,0,2,2,0,1,5.379696369171143,4.313892364501953,9.681485,0.34147915,0.36982134,0.2886995,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
22,2,1,0,2,2,0,1,5.0717244148254395,4.23949670791626,9.182409,0.34144998,0.36976185,0.28878817,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
23,3,1,0,3,3,0,1,4.828477382659912,4.214590549468994,9.168629,0.34157836,0.36956233,0.28885928,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
24,3,1,0,3,3,0,1,3.943037986755371,3.6246373653411865,9.016301,0.3415392,0.36962527,0.28883553,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
25,4,1,0,4,4,0,1,3.7098748683929443,3.2080156803131104,8.95184,0.34154594,0.36962909,0.288825,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
26,4,1,0,4,4,0,1,4.197976589202881,3.7837412357330322,8.944698,0.34147882,0.36952126,0.28899992,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
27,5,1,0,5,5,0,1,4.3516998291015625,3.6688740253448486,9.008062,0.34147286,0.36944956,0.2890776,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
28,5,1,0,5,5,0,1,3.8369781970977783,3.646639585494995,8.960576,0.3412917,0.36947426,0.28923407,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
29,6,1,0,6,6,0,1,6.508848190307617,5.560290336608887,8.855835,0.34032005,0.36985174,0.28982818,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
30,6,1,0,6,6,0,1,6.274445056915283,4.722772121429443,9.332581,0.34018695,0.37013212,0.28968096,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
31,7,1,0,7,7,1,1,9.340027809143066,7.144879341125488,10.884614,0.3398947,0.37090367,0.28920162,2.0,1.0,3.0,3.0,2.0,2.0,0.0,1.0
32,7,1,0,7,7,1,1,10.678988456726074,7.16500186920166,11.895816,0.3399578,0.37107402,0.28896818,3.0,2.0,3.0,4.0,3.0,2.0,1.0,2.0
33,8,1,0,8,8,1,1,14.834460258483887,11.187934875488281,13.726016,0.3400554,0.3705903,0.2893543,3.0,3.0,4.0,4.0,3.0,2.0,1.0,1.0
34,8,1,0,8,8,1,1,10.875814437866211,7.544140815734863,13.340889,0.3401869,0.3706128,0.28920034,4.0,3.0,5.0,5.0,4.0,2.0,1.0,1.0
35,9,1,0,9,9,1,1,11.729960441589355,8.086195945739746,13.964871,0.33966255,0.37094274,0.28939477,4.0,5.0,5.0,5.0,4.0,3.0,1.0,1.0
36,9,1,0,9,9,1,1,9.329899787902832,6.9298996925354,13.249155,0.33965036,0.37080756,0.28954208,4.0,5.0,4.0,5.0,3.0,4.0,0.0,1.0
37,10,1,0,10,10,0,1,12.139287948608398,9.667549133300781,13.097119,0.33963203,0.37080008,0.28956786,3.0,5.0,3.0,4.0,2.0,2.0,2.0,1.0
38,10,1,0,10,10,0,1,14.72160530090332,11.57171630859375,12.3091135,0.33995616,0.37037802,0.28966585,3.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0
39,11,1,0,11,11,0,1,12.594182014465332,9.765766143798828,12.139693,0.34003782,0.37017608,0.28978613,4.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0
40,11,1,0,11,11,0,1,10.19640827178955,8.032891273498535,11.934391,0.34003338,0.37016135,0.2898053,4.0,4.0,3.0,3.0,1.0,2.0,1.0,1.0
41,12,1,0,12,12,0,1,10.639605522155762,8.360072135925293,11.737715,0.33992612,0.37027502,0.28979886,4.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0
42,12,1,0,12,12,0,1,12.457337379455566,9.787680625915527,12.108624,0.3398028,0.37041193,0.28978527,4.0,4.0,3.0,3.0,2.0,2.0,1.0,0.0
43,13,1,0,13,13,0,1,8.50454330444336,7.619460105895996,11.939173,0.34004578,0.3705394,0.28941485,4.0,3.0,4.0,3.0,2.0,2.0,0.0,0.0
44,13,1,0,13,13,0,1,11.45030403137207,8.880287170410156,11.852427,0.33996928,0.3705792,0.2894515,4.0,3.0,4.0,3.0,1.0,2.0,1.0,1.0
45,14,1,0,14,14,0,1,11.282024383544922,9.320281982421875,11.929318,0.33967564,0.37064755,0.28967687,4.0,3.0,4.0,3.0,1.0,2.0,1.0,1.0
46,14,1,0,14,14,0,1,11.996286392211914,9.22779655456543,11.931135,0.3398929,0.37065816,0.28944895,3.0,2.0,3.0,3.0,1.0,3.0,1.0,1.0
47,15,1,0,15,15,0,1,13.282939910888672,11.178071975708008,12.264522,0.3400705,0.3704706,0.28945887,3.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0
48,15,1,0,15,15,0,1,12.917961120605469,10.620546340942383,12.844292,0.3400202,0.37048018,0.28949958,3.0,2.0,3.0,2.0,1.0,2.0,0.0,0.0
49,16,1,0,16,16,0,1,12.06756591796875,9.313623428344727,12.302295,0.3400175,0.37056974,0.2894128,3.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0
50,16,1,0,16,16,0,1,10.478375434875488,9.07820987701416,11.580256,0.34024334,0.37034366,0.28941298,3.0,2.0,3.0,2.0,1.0,2.0,0.0,1.0
51,17,1,0,17,17,1,1,10.531347274780273,7.560154914855957,11.793383,0.3400216,0.37066233,0.2893161,2.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0
52,17,1,0,17,17,1,1,9.175573348999023,7.93408727645874,11.789842,0.34049466,0.37025172,0.28925365,2.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0
53,18,1,0,18,18,1,1,12.688287734985352,10.467172622680664,13.762822,0.339892,0.37023318,0.2898748,3.0,2.0,3.0,2.0,1.0,2.0,0.0,1.0
54,18,1,0,18,18,1,1,13.273670196533203,9.757440567016602,14.008612,0.33966327,0.37076527,0.28957146,4.0,2.0,3.0,2.0,1.0,3.0,0.0,0.0
55,19,1,0,19,19,1,1,13.932873725891113,9.882110595703125,15.21016,0.33933955,0.37080064,0.28985977,3.0,2.0,3.0,2.0,1.0,3.0,0.0,1.0
56,19,1,0,19,19,1,1,13.486562728881836,9.645124435424805,15.276359,0.33941,0.370741,0.28984898,4.0,2.0,4.0,2.0,2.0,2.0,0.0,1.0
57,20,1,0,20,20,0,1,13.919329643249512,10.530874252319336,15.085862,0.33967227,0.37092358,0.28940415,4.0,2.0,4.0,2.0,2.0,3.0,0.0,0.0
58,20,1,0,20,20,0,1,11.45644474029541,8.110977172851562,15.007465,0.3400908,0.37085626,0.28905293,4.0,2.0,4.0,3.0,1.0,3.0,0.0,1.0
59,21,1,0,21,21,0,1,13.265247344970703,8.707929611206055,16.755003,0.33985788,0.3711536,0.28898853,5.0,3.0,3.0,2.0,1.0,2.0,0.0,0.0
60,21,1,0,21,21,0,1,12.359871864318848,8.802727699279785,15.997815,0.33977166,0.37097523,0.28925312,4.0,3.0,4.0,3.0,1.0,3.0,1.0,0.0
61,22,1,0,22,22,0,1,15.18323802947998,10.453816413879395,15.9819975,0.33975357,0.37091184,0.2893346,4.0,3.0,4.0,3.0,1.0,4.0,0.0,0.0
62,22,1,0,22,22,0,1,15.44377613067627,11.145833015441895,15.644986,0.33958307,0.3711172,0.28929973,4.0,3.0,3.0,3.0,1.0,5.0,0.0,0.0
63,23,1,0,23,23,0,1,11.702363014221191,9.412322998046875,15.312307,0.33983648,0.37107036,0.2890931,3.0,3.0,3.0,2.0,1.0,3.0,1.0,1.0
64,23,1,0,23,23,0,1,12.57726001739502,9.323248863220215,14.598721,0.33955303,0.37097725,0.28946972,2.0,3.0,2.0,2.0,1.0,3.0,0.0,0.0
65,24,0,1,0,0,0,1,10.280791282653809,6.661456108093262,13.800457,0.3399767,0.37078956,0.2892337,2.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0
66,24,0,1,0,0,0,1,9.803253173828125,7.946992874145508,12.406015,0.34022912,0.37068945,0.28908142,2.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0
67,25,0,1,1,1,0,1,9.038505554199219,6.848110198974609,11.477861,0.34052038,0.3705957,0.2888839,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0
68,25,0,1,1,1,0,1,6.143007755279541,4.872557163238525,10.486109,0.34025124,0.3703187,0.28943005,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0
69,26,0,1,2,2,0,1,6.066344261169434,5.419768810272217,9.527457,0.34042913,0.37038046,0.28919038,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
70,26,0,1,2,2,0,1,6.051400184631348,4.979098320007324,9.336968,0.34084067,0.3702308,0.2889285,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
71,27,0,1,3,3,0,1,5.609684467315674,5.150793075561523,9.099091,0.3412939,0.3697791,0.28892702,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
72,27,0,1,3,3,0,1,5.6880412101745605,5.019883155822754,8.85537,0.34125006,0.36976102,0.28898892,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
73,28,0,1,4,4,0,1,5.956089496612549,4.818235397338867,8.913968,0.34133583,0.36962727,0.28903693,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
74,28,0,1,4,4,0,1,5.049702167510986,4.393595218658447,8.756504,0.34132817,0.36955777,0.2891141,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
75,29,0,1,5,5,0,1,4.450427532196045,3.5711758136749268,8.636305,0.3411393,0.36948988,0.28937083,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
76,29,0,1,5,5,0,1,4.1392107009887695,3.912353515625,8.772314,0.34117436,0.36944428,0.28938138,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
77,30,0,1,6,6,0,1,7.241872310638428,6.788320541381836,8.6237335,0.34033293,0.36966753,0.28999949,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
78,30,0,1,6,6,0,1,8.036360740661621,6.0043253898620605,9.514391,0.34021807,0.3699294,0.28985256,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
79,31,0,1,7,7,1,1,10.119278907775879,7.558678150177002,10.975681,0.34041423,0.37077728,0.28880847,1.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0
80,31,0,1,7,7,1,1,11.343757629394531,8.471880912780762,11.679629,0.34020835,0.37088937,0.28890228,3.0,2.0,3.0,4.0,3.0,2.0,0.0,1.0
81,32,0,1,8,8,1,1,13.872034072875977,10.731338500976562,13.669392,0.3400989,0.37065476,0.28924635,4.0,3.0,4.0,5.0,4.0,3.0,0.0,1.0
82,32,0,1,8,8,1,1,12.846782684326172,9.881779670715332,13.5882225,0.34017515,0.37045643,0.28936842,4.0,3.0,5.0,5.0,4.0,3.0,0.0,1.0
83,33,0,1,9,9,1,1,13.889260292053223,11.556191444396973,13.71813,0.33957306,0.37072942,0.28969756,4.0,5.0,5.0,5.0,4.0,3.0,1.0,1.0
84,33,0,1,9,9,1,1,11.648111343383789,8.566263198852539,13.63702,0.33991325,0.3706332,0.2894536,4.0,5.0,5.0,5.0,4.0,3.0,1.0,1.0
